convenience_store,fips_state_county_tract_code,gas_station,meal_delivery,meal_takeaway,park,subway_station,supermarket,train_station
2.0,36047008500,7.0,4.0,7.0,14.0,0.0,1.0,0.0
10.0,36047008600,2.0,5.0,10.0,6.0,2.0,10.0,0.0
10.0,36047008800,3.0,3.0,10.0,8.0,2.0,6.0,0.0
9.0,36047009000,2.0,2.0,6.0,4.0,1.0,6.0,0.0
6.0,36047009200,2.0,4.0,5.0,6.0,2.0,4.0,0.0
6.0,36047009400,0.0,3.0,5.0,1.0,2.0,4.0,0.0
11.0,36047009600,1.0,4.0,12.0,3.0,2.0,8.0,0.0
8.0,36047009800,0.0,2.0,11.0,1.0,2.0,13.0,0.0
12.0,36047010000,1.0,5.0,10.0,0.0,3.0,11.0,0.0
5.0,36047010100,7.0,3.0,7.0,9.0,2.0,4.0,0.0
13.0,36047010200,6.0,4.0,6.0,2.0,3.0,11.0,0.0
10.0,36047010400,7.0,5.0,3.0,4.0,2.0,11.0,0.0
9.0,36047010600,0.0,3.0,7.0,2.0,2.0,11.0,0.0
9.0,36047010800,0.0,4.0,5.0,2.0,1.0,9.0,0.0
8.0,36047011000,2.0,0.0,3.0,5.0,2.0,3.0,0.0
9.0,36047011200,2.0,2.0,3.0,7.0,2.0,5.0,0.0
8.0,36047011400,2.0,5.0,3.0,6.0,2.0,6.0,0.0
8.0,36047011600,4.0,3.0,5.0,2.0,2.0,10.0,0.0
7.0,36047011700,3.0,9.0,8.0,10.0,3.0,7.0,0.0
16.0,36047011800,6.0,2.0,6.0,5.0,2.0,12.0,0.0
5.0,36047011900,3.0,8.0,13.0,18.0,4.0,6.0,0.0
8.0,36047012000,7.0,1.0,4.0,5.0,2.0,12.0,0.0
4.0,36047012100,3.0,10.0,10.0,17.0,4.0,9.0,0.0
14.0,36047012200,12.0,4.0,8.0,5.0,4.0,5.0,0.0
19.0,36047012600,10.0,2.0,7.0,8.0,3.0,8.0,0.0
15.0,36047012700,5.0,7.0,10.0,19.0,6.0,4.0,1.0
9.0,36047012801,9.0,1.0,3.0,6.0,2.0,8.0,0.0
10.0,36047012901,4.0,7.0,14.0,23.0,7.0,8.0,1.0
13.0,36047012902,3.0,7.0,14.0,20.0,6.0,9.0,1.0
13.0,36047013000,7.0,6.0,10.0,6.0,3.0,6.0,0.0
11.0,36047013100,4.0,9.0,16.0,20.0,3.0,7.0,1.0
11.0,36047013200,6.0,1.0,2.0,9.0,2.0,6.0,0.0
8.0,36047013300,4.0,11.0,17.0,15.0,4.0,10.0,0.0
12.0,36047013400,8.0,7.0,11.0,10.0,1.0,7.0,0.0
10.0,36047013500,3.0,14.0,13.0,18.0,4.0,9.0,0.0
12.0,36047013600,2.0,7.0,12.0,4.0,2.0,5.0,0.0
8.0,36047013700,2.0,15.0,17.0,10.0,4.0,9.0,0.0
14.0,36047013800,2.0,10.0,15.0,6.0,2.0,6.0,0.0
8.0,36047013900,1.0,12.0,15.0,13.0,4.0,10.0,0.0
10.0,36047014000,5.0,5.0,8.0,9.0,2.0,3.0,0.0
12.0,36047014100,5.0,11.0,16.0,10.0,4.0,10.0,0.0
14.0,36047014200,6.0,6.0,10.0,9.0,1.0,1.0,0.0
12.0,36047014300,5.0,10.0,10.0,11.0,2.0,5.0,0.0
6.0,36047014500,5.0,7.0,9.0,9.0,2.0,5.0,0.0
8.0,36047014700,2.0,8.0,11.0,11.0,2.0,7.0,0.0
2.0,36047014800,7.0,1.0,6.0,5.0,0.0,2.0,0.0
11.0,36047014900,0.0,11.0,12.0,11.0,3.0,11.0,0.0
7.0,36047015000,5.0,2.0,4.0,2.0,0.0,3.0,0.0
10.0,36047015100,0.0,13.0,11.0,12.0,2.0,10.0,0.0
0.0,36005027402,0.0,2.0,0.0,1.0,0.0,1.0,0.0
1.0,36005027600,0.0,1.0,2.0,4.0,1.0,1.0,0.0
10.0,36005027700,2.0,6.0,9.0,12.0,2.0,4.0,0.0
3.0,36005027900,3.0,1.0,3.0,12.0,2.0,2.0,0.0
2.0,36005028100,2.0,0.0,1.0,13.0,1.0,3.0,0.0
9.0,36005028300,6.0,5.0,5.0,12.0,3.0,2.0,1.0
5.0,36005028400,1.0,0.0,0.0,1.0,2.0,1.0,0.0
4.0,36005028500,2.0,7.0,8.0,8.0,2.0,3.0,0.0
6.0,36005028600,2.0,2.0,2.0,0.0,0.0,3.0,0.0
12.0,36005028700,5.0,12.0,13.0,12.0,3.0,6.0,0.0
4.0,36005028800,4.0,2.0,0.0,2.0,2.0,0.0,0.0
13.0,36005028900,3.0,11.0,13.0,10.0,3.0,5.0,1.0
2.0,36005029301,0.0,1.0,1.0,6.0,0.0,0.0,1.0
3.0,36005029302,2.0,6.0,10.0,12.0,1.0,5.0,2.0
11.0,36005029500,1.0,11.0,12.0,15.0,2.0,2.0,1.0
2.0,36005029600,2.0,2.0,0.0,2.0,0.0,0.0,0.0
4.0,36005029700,2.0,8.0,7.0,10.0,1.0,2.0,0.0
4.0,36005030000,1.0,2.0,2.0,2.0,2.0,1.0,0.0
4.0,36005030100,2.0,6.0,1.0,10.0,0.0,1.0,1.0
0.0,36005030200,0.0,0.0,1.0,4.0,0.0,0.0,0.0
2.0,36005030701,0.0,0.0,0.0,8.0,0.0,2.0,0.0
1.0,36005030900,1.0,0.0,0.0,2.0,0.0,2.0,0.0
2.0,36005031000,3.0,1.0,5.0,3.0,0.0,1.0,0.0
5.0,36005031200,3.0,0.0,0.0,5.0,1.0,1.0,0.0
4.0,36005031400,2.0,1.0,0.0,5.0,1.0,0.0,0.0
4.0,36005031600,1.0,0.0,0.0,4.0,1.0,0.0,0.0
4.0,36005031800,6.0,0.0,1.0,3.0,1.0,0.0,0.0
2.0,36005031900,2.0,0.0,0.0,3.0,0.0,0.0,0.0
1.0,36005032300,4.0,1.0,0.0,4.0,0.0,0.0,1.0
8.0,36005032400,9.0,3.0,2.0,5.0,2.0,4.0,0.0
6.0,36005032600,6.0,1.0,2.0,5.0,2.0,3.0,0.0
9.0,36005032800,6.0,2.0,5.0,4.0,1.0,5.0,0.0
8.0,36005033000,6.0,2.0,8.0,14.0,2.0,6.0,0.0
8.0,36005033201,5.0,2.0,4.0,18.0,2.0,4.0,0.0
8.0,36005033202,5.0,3.0,4.0,18.0,2.0,4.0,0.0
3.0,36005033400,4.0,1.0,4.0,12.0,3.0,1.0,0.0
0.0,36005033500,0.0,1.0,0.0,9.0,0.0,0.0,0.0
7.0,36005033600,9.0,3.0,4.0,7.0,2.0,4.0,0.0
4.0,36005033700,6.0,1.0,2.0,4.0,0.0,0.0,0.0
